Genre,Accuracy
Arts & Photography,13.5
Biographies & Memoirs,23
Business & Money,19.5
Calendars,43
Children's Books,48
Comics & Graphic Novels,56.5
Computers & Technology,34
"Cookbooks, Food & Wine",49
"Crafts, Hobbies & Home",19
Christian Books & Bibles,10
Engineering & Transportation,28
"Health, Fitness & Dieting",5
History,23.5
Humor & Entertainment,8
Law,29.5
Literature & Fiction,8.5
Medical Books,20
"Mystery, Thriller & Suspense",42
Parenting & Relationships,21.5
Politics & Social Sciences,2.5
Reference,9
Religion & Spirituality,14.5
Romance,55
Science & Math,11
Science Fiction & Fantasy,42
Self-Help,27
Sports & Outdoors,18
Teen & Young Adult,4.5
Test Preparation,68
Travel,37
